_id,temp_c,temp_f,humidity,createdAt
65bbdf1b2b76075204920ef0,23.40,74.12,94.00,Fri Feb 02 2024 00:12:43 GMT+0600 (Bangladesh Standard Time)
65bbdf262b76075204920ef1,23.40,74.12,94.00,Fri Feb 02 2024 00:12:54 GMT+0600 (Bangladesh Standard Time)
65bbdf322b76075204920ef2,23.40,74.12,94.00,Fri Feb 02 2024 00:13:06 GMT+0600 (Bangladesh Standard Time)
65bbdf3d2b76075204920ef3,23.40,74.12,94.00,Fri Feb 02 2024 00:13:17 GMT+0600 (Bangladesh Standard Time)
65bbdf492b76075204920ef4,23.40,74.12,94.00,Fri Feb 02 2024 00:13:29 GMT+0600 (Bangladesh Standard Time)
65bbdf542b76075204920ef5,23.40,74.12,94.00,Fri Feb 02 2024 00:13:40 GMT+0600 (Bangladesh Standard Time)
65bbdf602b76075204920ef6,23.40,74.12,94.00,Fri Feb 02 2024 00:13:52 GMT+0600 (Bangladesh Standard Time)
65bbdf6b2b76075204920ef7,23.40,74.12,94.00,Fri Feb 02 2024 00:14:03 GMT+0600 (Bangladesh Standard Time)
65bbdf762b76075204920ef8,23.40,74.12,94.00,Fri Feb 02 2024 00:14:14 GMT+0600 (Bangladesh Standard Time)
65bbdf822b76075204920ef9,23.40,74.12,95.00,Fri Feb 02 2024 00:14:26 GMT+0600 (Bangladesh Standard Time)
65bbdf8e2b76075204920efa,23.60,74.48,95.00,Fri Feb 02 2024 00:14:38 GMT+0600 (Bangladesh Standard Time)
65bbdf992b76075204920efb,23.80,74.84,95.00,Fri Feb 02 2024 00:14:49 GMT+0600 (Bangladesh Standard Time)
65bbdfa52b76075204920efc,23.80,74.84,95.00,Fri Feb 02 2024 00:15:01 GMT+0600 (Bangladesh Standard Time)
65bbdfb12b76075204920efd,23.80,74.84,95.00,Fri Feb 02 2024 00:15:13 GMT+0600 (Bangladesh Standard Time)
65bbdfbc2b76075204920efe,23.80,74.84,95.00,Fri Feb 02 2024 00:15:24 GMT+0600 (Bangladesh Standard Time)
65bbdfc82b76075204920eff,23.80,74.84,95.00,Fri Feb 02 2024 00:15:36 GMT+0600 (Bangladesh Standard Time)
65bbdfd32b76075204920f00,23.80,74.84,95.00,Fri Feb 02 2024 00:15:47 GMT+0600 (Bangladesh Standard Time)
65bbdfdf2b76075204920f01,23.80,74.84,95.00,Fri Feb 02 2024 00:15:59 GMT+0600 (Bangladesh Standard Time)
65bbdfea2b76075204920f02,23.80,74.84,94.00,Fri Feb 02 2024 00:16:10 GMT+0600 (Bangladesh Standard Time)
65bbdff62b76075204920f03,23.80,74.84,94.00,Fri Feb 02 2024 00:16:22 GMT+0600 (Bangladesh Standard Time)
65bbe0012b76075204920f04,23.80,74.84,94.00,Fri Feb 02 2024 00:16:33 GMT+0600 (Bangladesh Standard Time)
65bbe00c2b76075204920f05,23.80,74.84,94.00,Fri Feb 02 2024 00:16:44 GMT+0600 (Bangladesh Standard Time)
65bbe0182b76075204920f06,23.70,74.66,94.00,Fri Feb 02 2024 00:16:56 GMT+0600 (Bangladesh Standard Time)
65bbe0232b76075204920f07,23.40,74.12,94.00,Fri Feb 02 2024 00:17:07 GMT+0600 (Bangladesh Standard Time)
65bbe02f2b76075204920f08,23.40,74.12,94.00,Fri Feb 02 2024 00:17:19 GMT+0600 (Bangladesh Standard Time)
65bbe03a2b76075204920f09,23.40,74.12,94.00,Fri Feb 02 2024 00:17:30 GMT+0600 (Bangladesh Standard Time)
65bbe0462b76075204920f0a,23.40,74.12,94.00,Fri Feb 02 2024 00:17:42 GMT+0600 (Bangladesh Standard Time)
65bbe0512b76075204920f0b,23.40,74.12,94.00,Fri Feb 02 2024 00:17:53 GMT+0600 (Bangladesh Standard Time)
65bbe05d2b76075204920f0c,23.40,74.12,94.00,Fri Feb 02 2024 00:18:05 GMT+0600 (Bangladesh Standard Time)
65bbe0682b76075204920f0d,23.40,74.12,94.00,Fri Feb 02 2024 00:18:16 GMT+0600 (Bangladesh Standard Time)
65bbe0732b76075204920f0e,23.40,74.12,94.00,Fri Feb 02 2024 00:18:27 GMT+0600 (Bangladesh Standard Time)
65bbe07f2b76075204920f0f,23.40,74.12,94.00,Fri Feb 02 2024 00:18:39 GMT+0600 (Bangladesh Standard Time)
65bbe08a2b76075204920f10,23.40,74.12,94.00,Fri Feb 02 2024 00:18:50 GMT+0600 (Bangladesh Standard Time)
65bbe0962b76075204920f11,23.40,74.12,94.00,Fri Feb 02 2024 00:19:02 GMT+0600 (Bangladesh Standard Time)
65bbe0a12b76075204920f12,23.40,74.12,94.00,Fri Feb 02 2024 00:19:13 GMT+0600 (Bangladesh Standard Time)
65bbe0ad2b76075204920f13,23.40,74.12,94.00,Fri Feb 02 2024 00:19:25 GMT+0600 (Bangladesh Standard Time)
65bbe0b82b76075204920f14,23.40,74.12,94.00,Fri Feb 02 2024 00:19:36 GMT+0600 (Bangladesh Standard Time)
65bbe0c42b76075204920f15,23.40,74.12,94.00,Fri Feb 02 2024 00:19:48 GMT+0600 (Bangladesh Standard Time)
